bucket,name,source,size,ext,reason
tally/raw,INDIAN BANK__Statement Of Account - OCTOBER 2025.xlsx,meet-recording/tallyData/New folder/INDIAN BANK/Statement Of Account - OCTOBER 2025.xlsx,17411,.xlsx,lives under tallyData/ — treated as Tally signal/reference
tally/raw,INDIAN BANK__Statement Of Account - SEPTEMBER 2025.xlsx,meet-recording/tallyData/New folder/INDIAN BANK/Statement Of Account - SEPTEMBER 2025.xlsx,19562,.xlsx,lives under tallyData/ — treated as Tally signal/reference
tally/raw,INDIAN BANK ROOFTOP__TMV - ROOFTOP  Statement Of Account - OCTOBER 2025.xlsx,meet-recording/tallyData/New folder/INDIAN BANK ROOFTOP/TMV - ROOFTOP  Statement Of Account - OCTOBER 2025.xlsx,19301,.xlsx,lives under tallyData/ — treated as Tally signal/reference
tally/raw,"INDIAN BANK ROOFTOP__TMV - ROOFTOP STATEMNT OF AC, NOV 2025.xls","meet-recording/tallyData/New folder/INDIAN BANK ROOFTOP/TMV - ROOFTOP STATEMNT OF AC, NOV 2025.xls",41984,.xls,lives under tallyData/ — treated as Tally signal/reference
tally/raw,PTM ROOFTOP__TMV ROOFTOP- PTM - OCTOBER 2025.xlsx,meet-recording/tallyData/New folder/PTM ROOFTOP/TMV ROOFTOP- PTM - OCTOBER 2025.xlsx,28560,.xlsx,lives under tallyData/ — treated as Tally signal/reference
tally/raw,UPI STATMENT__PTM - AUGUST 2025 (FRONT OFFICE).csv,meet-recording/tallyData/New folder/UPI STATMENT/PTM - AUGUST 2025 (FRONT OFFICE).csv,23604,.csv,lives under tallyData/ — treated as Tally signal/reference
tally/raw,UPI STATMENT__PTM - JULY 2025 (1).xlsx,meet-recording/tallyData/New folder/UPI STATMENT/PTM - JULY 2025 (1).xlsx,38227,.xlsx,lives under tallyData/ — treated as Tally signal/reference
tally/raw,UPI STATMENT__PTM - NOVEMBER 2025 (FRONT OFFICE).csv,meet-recording/tallyData/New folder/UPI STATMENT/PTM - NOVEMBER 2025 (FRONT OFFICE).csv,6661,.csv,lives under tallyData/ — treated as Tally signal/reference
tally/raw,UPI STATMENT__PTM - NOVEMBER 2025 (FRONT OFFICE1).csv,meet-recording/tallyData/New folder/UPI STATMENT/PTM - NOVEMBER 2025 (FRONT OFFICE1).csv,2458,.csv,lives under tallyData/ — treated as Tally signal/reference
tally/raw,UPI STATMENT__PTM - OCTOBER 2025 (FRONT OFFICE).csv,meet-recording/tallyData/New folder/UPI STATMENT/PTM - OCTOBER 2025 (FRONT OFFICE).csv,14283,.csv,lives under tallyData/ — treated as Tally signal/reference
tally/raw,UPI STATMENT__PTM - OCTOBER 2025 (FRONT OFFICE1).csv,meet-recording/tallyData/New folder/UPI STATMENT/PTM - OCTOBER 2025 (FRONT OFFICE1).csv,348,.csv,lives under tallyData/ — treated as Tally signal/reference
tally/raw,UPI STATMENT__PTM - SEPTEMBER 2025 (FRONT OFFICE).xlsx,meet-recording/tallyData/New folder/UPI STATMENT/PTM - SEPTEMBER 2025 (FRONT OFFICE).xlsx,22605,.xlsx,lives under tallyData/ — treated as Tally signal/reference
invoices/raw,transaction_detail20250428.xlsx,meet-recording/transaction_detail20250428.xlsx,264284,.xlsx,EZ sheet / front-office invoice raw export
